admin1_pcode,admin3_pcode,state,township,total_pop,idps,pop_minus_idps,food_secure,marginally_food_secure,moderately_food_insecure,severely_food_insecure,food_insecure_moderately_severely,moderate_food_insecure_number,severely_food_insecure_number,moderately_severely,pin_2022,total_pin2,target_2022,pc_vul,pin_2021,target_2021,hrp_target_idps_2021,hrp_target_returnees_2021,hrp_target_stateless_rakhine_2021,hrp_target_other_vulnerable_2021,hrp_target_total,hrp_version,pin_new,target_new
MMR001,MMR001010,Kachin,Bhamo,154328.6819752977,9577,144751.6819752977,0.171,0.566,0.262,0,0.262,37924.94067752799,0,37924.94067752799,47502,47501.94067752799,11875,0.30779722906679974,5854.95,5321.75,4940.75,247.79999999999998,0,133.20000000000002,5321.75,hrp,47502,11875
MMR001,MMR001005,Kachin,Chipwi,22760.235051575986,2719,20041.235051575986,0.171,0.566,0.262,0,0.262,5250.8035835129085,0,5250.8035835129085,7970,7969.8035835129085,1992,0.35016350074825153,3288.2500000000005,2990.425,2415,330.40000000000003,0,245.025,2990.425,hrp,7970,1992
MMR001,MMR001009,Kachin,Hpakant,376752.9342027131,4359,372393.9342027131,0.171,0.566,0.262,0,0.262,97567.21076111084,0,97567.21076111084,101926,101926.21076111084,25482,0.2705385983968717,8171.85,5202.05,3032.25,0,0,2169.8,5202.05,hrp,101926,25482
MMR001,MMR001003,Kachin,Injangyang,1967.200314852518,566,1401.200314852518,0.171,0.566,0.262,0,0.262,367.11448249135975,0,367.11448249135975,933,933.1144824913597,233,0.47433628159078234,556,496,0,496,0,0,496,hrp,933,233
MMR001,MMR001018,Kachin,Khaunglanhpu,13237.713435107447,0,13237.713435107447,0.171,0.566,0.262,0,0.262,3468.280919998151,0,3468.280919998151,3468,3468.280919998151,867,0.262,0,0,0,0,0,0,0,NA,3468,867
MMR001,MMR001016,Kachin,Machanbaw,10060.889370071365,0,10060.889370071365,0.171,0.566,0.262,0,0.262,2635.9530149586976,0,2635.9530149586976,2636,2635.9530149586976,659,0.262,0,0,0,0,0,0,0,NA,2636,659
MMR001,MMR001013,Kachin,Mansi,60134.76943987677,14244,45890.76943987677,0.171,0.566,0.262,0,0.262,12023.381593247714,0,12023.381593247714,26267,26267.381593247716,6567,0.4368085524882582,15746.1,12582.6,10476.7,1042.4,0,1063.5,12582.6,hrp,26267,6567
MMR001,MMR001008,Kachin,Mogaung,150615.76175055586,1632,148983.76175055586,0.171,0.566,0.262,0,0.262,39033.745578645634,0,39033.745578645634,40666,40665.745578645634,10166,0.2699966132760707,2601.5,1893.7,1327.7,52,0,514,1893.7,hrp,40666,10166
MMR001,MMR001007,Kachin,Mohnyin,237713.2149515665,392,237321.2149515665,0.171,0.566,0.262,0,0.262,62178.15831731043,0,62178.15831731043,62570,62570.15831731043,15643,0.26321699586646435,338.3,338,338,0,0,0,338,hrp,62570,15643
MMR001,MMR001012,Kachin,Momauk,71457.52921976405,25099,46358.52921976405,0.171,0.566,0.262,0,0.262,12145.934655578181,0,12145.934655578181,37245,37244.93465557818,9311,0.5212177787596497,22761.6,20191.8,19412.8,348,0,431,20191.8,hrp,37245,9311
MMR001,MMR001001,Kachin,Myitkyina,360733.65404065774,11726,349007.65404065774,0.171,0.566,0.262,0,0.262,91440.00535865233,0,91440.00535865233,103166,103166.00535865233,25792,0.2859894113096103,10563.4,9167.8,6991,1024,0,1152.8,9167.8,hrp,103166,25792
MMR001,MMR001017,Kachin,Nawngmun,8090.28166437326,0,8090.28166437326,0.171,0.566,0.262,0,0.262,2119.6537960657943,0,2119.6537960657943,2120,2119.6537960657943,0,0.262,0,0,0,0,0,0,0,NA,2120,0
MMR001,MMR001014,Kachin,Puta-O,69368.79863141889,498,68870.79863141889,0.171,0.566,0.262,0,0.262,18044.14924143175,0,18044.14924143175,18542,18542.14924143175,4636,0.26729811683712135,441.15,441,441,0,0,0,441,hrp,18542,4636
MMR001,MMR001011,Kachin,Shwegu,107655.37796938862,3129,104526.37796938862,0.171,0.566,0.262,0,0.262,27385.91102797982,0,27385.91102797982,30515,30514.91102797982,7629,0.28344994559079634,1687.5,1487.5,1487.5,0,0,0,1487.5,hrp,30515,7629
MMR001,MMR001015,Kachin,Sumprabum,2891.7390309552607,1203,1688.7390309552607,0.171,0.566,0.262,0,0.262,442.4496261102783,0,442.4496261102783,1645,1645.4496261102784,411,0.5690173312654422,1040.4,1040.4,1040.4,0,0,0,1040.4,hrp,1645,411
MMR001,MMR001004,Kachin,Tanai,68169.3970537721,1257,66912.3970537721,0.171,0.566,0.262,0,0.262,17531.04802808829,0,17531.04802808829,18788,18788.04802808829,4697,0.2756082471034364,1477.6,1307,1014,293,0,0,1307,hrp,18788,4697
MMR001,MMR001006,Kachin,Tsawlaw,7403.124510513114,0,7403.124510513114,0.171,0.566,0.262,0,0.262,1939.618621754436,0,1939.618621754436,1940,1939.618621754436,0,0.262,0,0,0,0,0,0,0,NA,1940,0
MMR001,MMR001002,Kachin,Waingmaw,142592.4921061458,26801,115791.4921061458,0.171,0.566,0.262,0,0.262,30337.3709318102,0,30337.3709318102,57138,57138.370931810205,14285,0.40071093567308175,28120.05,23656.75,20865,724.75,0,2067,23656.75,hrp,57138,14285
MMR002,MMR002005,Kayah,Bawlake,12712.895004683189,0,12712.895004683189,0.114,0,0.304,0.077,0.381,3864.7200814236894,978.8929153606056,4843.612996784295,4844,4843.612996784295,1000,0.381,0,0,0,0,0,0,0,NA,4844,1000
MMR002,MMR002002,Kayah,Demoso,91567.29695033768,52003,39564.29695033768,0.114,0,0.304,0.077,0.381,12027.546272902655,3046.4508651760016,15073.997138078656,67077,67076.99713807866,25000,0.7325431608454976,1943.5,1943.5,0,0,0,0,0,ierp,67077,25000
MMR002,MMR002006,Kayah,Hpasawng,29590.199595294787,120,29470.199595294787,0.114,0,0.304,0.077,0.381,8958.940676969614,2269.2053688376986,11228.146045807312,11348,11348.146045807312,8000,0.3835102906035081,0,0,0,0,0,0,0,NA,11348,8000
MMR002,MMR002003,Kayah,Hpruso,33960.40177042233,6572,27388.40177042233,0.114,0,0.304,0.077,0.381,8326.074138208389,2108.9069363225194,10434.981074530908,17007,17006.981074530908,4000,0.5007885710393175,1943.5,1943.5,0,0,0,0,0,ierp,17007,4000
MMR002,MMR002001,Kayah,Loikaw,148449.29351548982,21208,127241.29351548982,0.114,0,0.304,0.077,0.381,38681.353228708904,9797.579600692716,48478.932829401616,69687,69686.93282940162,25000,0.4694325663606489,1943.5,1943.5,0,0,0,0,0,ierp,69687,25000
MMR002,MMR002007,Kayah,Mese,7305.63691656903,320,6985.63691656903,0.114,0,0.304,0.077,0.381,2123.6336226369854,537.8940425758153,2661.5276652128005,2982,2981.5276652128005,900,0.4081133102099228,0,0,0,0,0,0,0,NA,2982,900
MMR002,MMR002004,Kayah,Shadaw,7794.683350452351,0,7794.683350452351,0.114,0,0.304,0.077,0.381,2369.583738537515,600.1906179848311,2969.774356522346,2970,2969.774356522346,500,0.381,0,0,0,0,0,0,0,NA,2970,500
MMR003,MMR003002,Kayin,Hlaingbwe,275878.0378153535,8228,267650.0378153535,0.121,0.571,0.282,0.026,0.308,75477.31066392967,6958.900983199191,82436.21164712886,90664,90664.21164712886,15000,0.32863874328340287,5187,5187,5187,0,0,0,5187,hrp,90664,15000
MMR003,MMR003001,Kayin,Hpa-An,437422.79044545017,151,437271.79044545017,0.121,0.571,0.282,0.026,0.308,123310.64490561694,11369.066551581704,134679.71145719863,134831,134830.71145719863,15000,0.30823888101462105,0,0,0,0,0,0,0,NA,134831,15000
MMR003,MMR003003,Kayin,Hpapun,36403.91058003586,47843,-11439.08941996414,0.121,0.571,0.282,0.026,0.308,-3225.8232164298875,-297.4163249190676,-3523.239541348955,44320,44319.76045865104,44320,1.2174450423729006,1668,1668,1668,0,0,0,1668,hrp,44320,44320
MMR003,MMR003006,Kayin,Kawkareik,228625.06669591743,0,228625.06669591743,0.121,0.571,0.282,0.026,0.308,64472.26880824871,5944.251734093853,70416.52054234257,70417,70416.52054234257,5000,0.308,0,0,0,0,0,0,0,NA,70417,5000
MMR003,MMR003007,Kayin,Kyainseikgyi,264429.2491780408,0,264429.2491780408,0.121,0.571,0.282,0.026,0.308,74569.0482682075,6875.16047862906,81444.20874683655,81444,81444.20874683655,5000,0.308,0,0,0,0,0,0,0,NA,81444,5000
MMR003,MMR003005,Kayin,Myawaddy,218454.5912361622,100,218354.5912361622,0.121,0.571,0.282,0.026,0.308,61575.99472859773,5677.219372140217,67253.21410073795,67353,67353.21410073795,5000,0.30831677063690177,0,0,0,0,0,0,0,NA,67353,5000
MMR003,MMR003004,Kayin,Thandaunggyi,99662.77380742782,2902,96760.77380742782,0.121,0.571,0.282,0.026,0.308,27286.538213694643,2515.7801189931233,29802.318332687766,32704,32704.318332687766,7000,0.328149790370879,0,0,0,0,0,0,0,NA,32704,7000
MMR004,MMR004001,Chin,Falam,51831.49727101556,4310,47521.49727101556,0.083,0.36,0.389,0.169,0.558,18485.862438425054,8031.13303880163,26516.995477226686,30827,30826.995477226686,7707,0.5947540993469486,0,0,0,0,0,0,0,NA,30827,7707
MMR004,MMR004002,Chin,Hakha,52127.97296104466,255,51872.97296104466,0.083,0.36,0.389,0.169,0.558,20178.586481846374,8766.532430416548,28945.118912262922,29200,29200.118912262922,20000,0.5601621788379193,0,0,0,0,0,0,0,NA,29200,20000
MMR004,MMR004008,Chin,Kanpetlet,23171.461839256557,1202,21969.461839256557,0.083,0.36,0.389,0.169,0.558,8546.1206554708,3712.839050834358,12258.959706305159,13461,13460.959706305159,5000,0.580928376452275,0,0,0,0,0,0,0,NA,13461,5000
MMR004,MMR004007,Chin,Matupi,55361.17512248934,0,55361.17512248934,0.083,0.36,0.389,0.169,0.558,21535.497122648354,9356.038595700698,30891.535718349052,30892,30891.535718349052,7723,0.558,0,0,0,0,0,0,0,NA,30892,7723
MMR004,MMR004006,Chin,Mindat,45926.77961905409,4820,41106.77961905409,0.083,0.36,0.389,0.169,0.558,15990.537271812042,6947.045755620142,22937.583027432185,27758,27757.583027432185,20000,0.6043877506254788,0,0,0,0,0,0,0,NA,27758,20000
MMR004,MMR004009,Chin,Paletwa,104632.20052507173,9841,94791.20052507173,0.083,0.36,0.389,0.169,0.558,36873.77700425291,16019.712888737124,52893.48989299003,62734,62734.48989299003,40000,0.5995715427771944,13275,5106,4845,0,0,1352,6197,hrp,62734,40000
MMR004,MMR004004,Chin,Tedim,94465.77959061916,0,94465.77959061916,0.083,0.36,0.389,0.169,0.558,36747.18826075085,15964.71675081464,52711.90501156549,52712,52711.90501156549,13178,0.5579999999999999,0,0,0,0,0,0,0,NA,52712,13178
MMR004,MMR004003,Chin,Thantlang,54307.87785282231,1394,52913.87785282231,0.083,0.36,0.389,0.169,0.558,20583.49848474788,8942.445357126971,29525.943841874854,30920,30919.943841874854,7730,0.5693454626540518,0,0,0,0,0,0,0,NA,30920,7730
MMR004,MMR004005,Chin,Tonzang,34367.46198817385,0,34367.46198817385,0.083,0.36,0.389,0.169,0.558,13368.942713399627,5808.1010760013805,19177.043789401007,19177,19177.043789401007,5000,0.5579999999999999,0,0,0,0,0,0,0,NA,19177,5000
MMR011,MMR011010,Mon,Bilin,174375.27232961828,1095,173280.27232961828,0.135,0.623,0.233,0.009,0.242,40374.30345280106,1559.5224509665645,41933.825903767625,43029,43028.825903767625,5000,0.24675990654472527,0,0,0,0,0,0,0,NA,43029,5000
MMR011,MMR011003,Mon,Chaungzon,117607.3699214522,0,117607.3699214522,0.135,0.623,0.233,0.009,0.242,27402.517191698367,1058.4663292930697,28460.983520991438,28461,12000,0,0.24200000000000005,0,0,0,0,0,0,0,NA,28461,0
MMR011,MMR011002,Mon,Kyaikmaraw,188565.08118107164,0,188565.08118107164,0.135,0.623,0.233,0.009,0.242,43935.663915189696,1697.0857306296446,45632.74964581934,45633,24000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,45633,0
MMR011,MMR011009,Mon,Kyaikto,177704.36423321342,0,177704.36423321342,0.135,0.623,0.233,0.009,0.242,41405.11686633873,1599.3392780989207,43004.45614443765,43004,43004.45614443765,10000,0.24200000000000002,0,0,0,0,0,0,0,NA,43004,10000
MMR011,MMR011001,Mon,Mawlamyine,278680.7196406106,0,278680.7196406106,0.135,0.623,0.233,0.009,0.242,64932.607676262276,2508.1264767654952,67440.73415302778,67441,44000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,67441,0
MMR011,MMR011005,Mon,Mudon,183679.78085508436,0,183679.78085508436,0.135,0.623,0.233,0.009,0.242,42797.38893923466,1653.118027695759,44450.50696693042,44451,27000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,44451,0
MMR011,MMR011008,Mon,Paung,210376.07410109657,0,210376.07410109657,0.135,0.623,0.233,0.009,0.242,49017.62526555551,1893.384666909869,50911.00993246538,50911,34004,0,0.24200000000000005,0,0,0,0,0,0,0,NA,50911,0
MMR011,MMR011004,Mon,Thanbyuzayat,164226.21257492076,0,164226.21257492076,0.135,0.623,0.233,0.009,0.242,38264.70752995654,1478.0359131742869,39742.74344313083,39743,23000,0,0.24200000000000002,0,0,0,0,0,0,0,NA,39743,0
MMR011,MMR011007,Mon,Thaton,229296.140236455,0,229296.140236455,0.135,0.623,0.233,0.009,0.242,53426.000675094016,2063.6652621280946,55489.66593722211,55490,55489.66593722211,10000,0.24200000000000002,0,0,0,0,0,0,0,NA,55490,10000
MMR011,MMR011006,Mon,Ye,253869.98090638287,0,253869.98090638287,0.135,0.623,0.233,0.009,0.242,59151.70555118721,2284.8298281574457,61436.535379344656,61437,61436.535379344656,10000,0.242,0,0,0,0,0,0,0,NA,61437,10000
MMR012,MMR012014,Rakhine,Ann,123930.35613315948,3984,119946.35613315948,0.021,0.58,0.346,0.054,0.4,41501.439222073175,6477.103231190612,47978.542453263784,51963,51962.542453263784,1000,0.41928825248780516,6693,6693,4123,0,0,2570,6693,hrp,51963,1000
MMR012,MMR012010,Rakhine,Buthidaung,57501.30838010879,7030,50471.30838010879,0.021,0.58,0.346,0.054,0.4,17463.07269951764,2725.450652525875,20188.523352043514,27219,27218.523352043514,25000,0.4733548525907823,157500,121631,2751,0,110200,8680,121631,hrp,27219,25000
MMR012,MMR012017,Rakhine,Gwa,68340.06432105285,0,68340.06432105285,0.021,0.58,0.346,0.054,0.4,23645.662255084284,3690.363473336854,27336.025728421137,27336,12000,0,0.39999999999999997,0,0,0,0,0,0,0,NA,27336,0
MMR012,MMR012011,Rakhine,Kyaukpyu,171175.73756895756,1001,170174.73756895756,0.021,0.58,0.346,0.054,0.4,58880.45919885931,9189.435828723708,68069.89502758301,69071,47000,0,0.40350867481881325,893.7,864,864,0,0,0,864,hrp,69071,0
MMR012,MMR012004,Rakhine,Kyauktaw,179196.62400930474,15095,164101.62400930474,0.021,0.58,0.346,0.054,0.4,56779.16190721944,8861.487696502456,65640.64960372189,80736,80735.64960372189,40000,0.4505422468200613,66700.12970603122,52231,11100,0,38290,2841,52231,hrp,80736,40000
MMR012,MMR012009,Rakhine,Maungdaw,42221.457598032895,0,42221.457598032895,0.021,0.58,0.346,0.054,0.4,14608.62432891938,2279.958710293776,16888.583039213157,16889,16888.583039213157,16889,0.39999999999999997,97600,71360,0,0,51800,19560,71360,hrp,16889,16889
MMR012,MMR012005,Rakhine,Minbya,175167.54682476277,2922,172245.54682476277,0.021,0.58,0.346,0.054,0.4,59596.959201367914,9301.25952853719,68898.2187299051,71820,71820.2187299051,50000,0.41000870327740496,33345.54041597296,24875,3411,0,18480,2984,24875,hrp,71820,50000
MMR012,MMR012003,Rakhine,Mrauk-U,196308.81462093847,22743,173565.81462093847,0.021,0.58,0.346,0.054,0.4,60053.77185884471,9372.553989530677,69426.32584837539,92169,92169.32584837539,50000,0.4695119066678146,43487.59288340755,33568.61501838529,16211,0,14784,2573.615018385286,33568.61501838529,hrp,92169,50000
MMR012,MMR012012,Rakhine,Munaung,58972.356344968524,0,58972.356344968524,0.021,0.58,0.346,0.054,0.4,20404.435295359108,3184.5072426283004,23588.94253798741,23589,14000,0,0.39999999999999997,0,0,0,0,0,0,0,NA,23589,0
MMR012,MMR012006,Rakhine,Myebon,142024.9707551043,6579,135445.9707551043,0.021,0.58,0.346,0.054,0.4,46864.30588126608,7314.082420775632,54178.38830204171,60757,36000,0,0.427793704015659,6470,6470,6470,0,0,0,6470,hrp,60757,0
MMR012,MMR012007,Rakhine,Pauktaw,151097.64096202247,24429,126668.64096202247,0.021,0.58,0.346,0.054,0.4,43827.34977285977,6840.106611949213,50667.45638480899,75096,50000,0,0.4970061471951376,34902,28162,19202,0,8960,0,28162,hrp,75096,0
MMR012,MMR012002,Rakhine,Ponnagyun,134322.93214950498,2889,131433.93214950498,0.021,0.58,0.346,0.054,0.4,45476.14052372872,7097.432336073269,52573.572859801985,55463,37000,0,0.4129047212732869,3125,3125,3125,0,0,0,3125,hrp,55463,0
MMR012,MMR012013,Rakhine,Ramree,101338.74477697774,0,101338.74477697774,0.021,0.58,0.346,0.054,0.4,35063.20569283429,5472.292217956798,40535.49791079109,40535,26000,0,0.39999999999999997,0,0,0,0,0,0,0,NA,40535,0
MMR012,MMR012008,Rakhine,Rathedaung,115917.75145475383,19553,96364.75145475383,0.021,0.58,0.346,0.054,0.4,33342.20400334482,5203.696578556707,38545.90058190153,58099,58098.90058190153,10000,0.5012079673110228,29529,10453,4105,0,3100,3248,10453,hrp,58099,10000
MMR012,MMR012001,Rakhine,Sittwe,153108.0386733227,112456,40652.038673322706,0.021,0.58,0.346,0.054,0.4,14065.605380969655,2195.210088359426,16260.815469329082,128717,128716.81546932909,80000,0.8406927329528681,152558.9334272645,127749.75339908515,93317,0,32400,2032.7533990851464,127749.75339908515,hrp,128717,80000
MMR012,MMR012015,Rakhine,Thandwe,138185.3388749741,0,138185.3388749741,0.021,0.58,0.346,0.054,0.4,47812.12725074104,7462.008299248602,55274.135549989645,55274,36000,0,0.4,0,0,0,0,0,0,0,NA,55274,0
MMR012,MMR012016,Rakhine,Toungup,163917.80844747147,0,163917.80844747147,0.021,0.58,0.346,0.054,0.4,56715.56172282512,8851.56165616346,65567.12337898859,65567,44000,0,0.4,0,0,0,0,0,0,0,NA,65567,0
MMR013,MMR013037,Yangon,Ahlone,64567.03937827991,0,64567.03937827991,0.151,0.624,0.216,0.008,0.224,13946.48050570846,516.5363150262393,14463.0168207347,14463,18078.771025918373,18079,0.224,0,0,0,0,0,0,0,NA,18079,14463
MMR013,MMR013044,Yangon,Bahan,112571.62418693941,0,112571.62418693941,0.151,0.624,0.216,0.008,0.224,24315.470824378914,900.5729934955153,25216.04381787443,25216,31520.054772343035,31520,0.224,0,0,0,0,0,0,0,NA,31520,25216
MMR013,MMR013017,Yangon,Botahtaung,47707.829193478705,0,47707.829193478705,0.151,0.624,0.216,0.008,0.224,10304.8911057914,381.66263354782967,10686.55373933923,10687,13358.192174174037,13358,0.224,0,0,0,0,0,0,0,NA,13358,10687
MMR013,MMR013032,Yangon,Cocokyun,2257.670170395138,0,2257.670170395138,0.151,0.624,0.216,0.008,0.224,487.6567568053498,18.061361363161105,505.7181181685109,506,632.1476477106386,632,0.224,0,0,0,0,0,0,0,NA,632,506
MMR013,MMR013043,Yangon,Dagon,29189.115058686,0,29189.115058686,0.151,0.624,0.216,0.008,0.224,6304.848852676176,233.512920469488,6538.361773145663,6538,8172.952216432079,8173,0.22399999999999998,0,0,0,0,0,0,0,NA,8173,6538
MMR013,MMR013020,Yangon,Dagon Myothit (East),192749.1726712401,0,192749.1726712401,0.151,0.624,0.216,0.008,0.224,41633.821296987866,1541.993381369921,43175.81467835779,43176,53969.76834794724,53970,0.22400000000000003,0,0,0,0,0,0,0,NA,53970,43176
MMR013,MMR013019,Yangon,Dagon Myothit (North),237343.97727409672,0,237343.97727409672,0.151,0.624,0.216,0.008,0.224,51266.29909120489,1898.7518181927737,53165.050909397665,53165,66456.31363674709,66456,0.224,190909.0909090909,190909.0909090909,0,0,0,0,0,ierp,66456,53165
MMR013,MMR013021,Yangon,Dagon Myothit (Seikkan),194867.1931403737,0,194867.1931403737,0.151,0.624,0.216,0.008,0.224,42091.31371832072,1558.9375451229898,43650.251263443715,43650,54562.81407930465,54563,0.22400000000000003,199242.42424242425,199242.42424242425,0,0,0,0,0,ierp,54563,43650
